severity,model,accuracy,f1,precision,recall,roc_auc
0.0,RF-Content,0.7863013698630137,0.7310344827586207,0.7969924812030075,0.6751592356687898,0.8423260656540912
0.0,RF-Behavioral,0.9273972602739726,0.912106135986733,0.9515570934256056,0.8757961783439491,0.9812783255756983
0.0,RF-Fusion,0.9424657534246575,0.9302325581395349,0.9722222222222222,0.89171974522293,0.9838888718765311
0.25,RF-Content,0.7082191780821918,0.5911708253358925,0.7439613526570048,0.49044585987261147,0.7838873407643312
0.25,RF-Behavioral,0.9273972602739726,0.912106135986733,0.9515570934256056,0.8757961783439491,0.9812783255756983
0.25,RF-Fusion,0.9383561643835616,0.9251247920133111,0.9686411149825784,0.8853503184713376,0.9838812163155315
0.5,RF-Content,0.636986301369863,0.4124168514412417,0.6788321167883211,0.2961783439490446,0.6809812898089171
0.5,RF-Behavioral,0.9273972602739726,0.912106135986733,0.9515570934256056,0.8757961783439491,0.9812783255756983
0.5,RF-Fusion,0.9383561643835616,0.9253731343283582,0.9653979238754326,0.8885350318471338,0.9834792993630572
0.75,RF-Content,0.6054794520547945,0.2871287128712871,0.6444444444444445,0.18471337579617833,0.6178382226849584
0.75,RF-Behavioral,0.9273972602739726,0.912106135986733,0.9515570934256056,0.8757961783439491,0.9812783255756983
0.75,RF-Fusion,0.9328767123287671,0.9187396351575456,0.9584775086505191,0.8821656050955414,0.9800917136207742
1.0,RF-Content,0.536986301369863,0.11052631578947368,0.3181818181818182,0.06687898089171974,0.4662428037726605
1.0,RF-Behavioral,0.9273972602739726,0.912106135986733,0.9515570934256056,0.8757961783439491,0.9812783255756983
1.0,RF-Fusion,0.9246575342465754,0.908485856905158,0.9512195121951219,0.8694267515923567,0.9780400232729054
